"DTI_CL_ANO","Año","DTI_CL_CUT_2010","Región Provincia Comuna","Value","Flag Codes","Flags"
"2011","2011","08301","Los Ángeles",95923.22689572,,
"2011","2011","08401","Chillán",95553.4742033,,
"2011","2011","09101","Temuco",136035.2877925,,
"2011","2011","09112","Padre Las Casas",9209.95931115,,
"2011","2011","09201","Angol",20651.813423022,,
"2011","2011","14101","Valdivia",69204.0957869,,
"2011","2011","10101","Puerto Montt",224164.8837353,,
"2011","2011","10301","Osorno",50570.43586623,,
"2011","2011","11101","Coyhaique",33027.01462222,,
"2011","2011","12101","Punta Arenas",106080.85109279,,
"2011","2011","13101","Santiago",552568.259364235,,
"2011","2011","13102","Cerrillos",180069.4025496,,
"2011","2011","13103","Cerro Navia",37105.45549737,,
"2011","2011","13104","Conchalí",99833.2601054,,
"2011","2011","13105","El Bosque",94889.7806452,,
"2011","2011","13106","Estación Central",145219.932863,,
"2011","2011","13107","Huechuraba",128087.20314148,,
"2011","2011","13108","Independencia",111875.00782478,,
"2011","2011","13109","La Cisterna",167210.283654,,
"2011","2011","13110","La Florida",312438.590285627,,
"2011","2011","13111","La Granja",145838.12231734,,
"2011","2011","13112","La Pintana",158304.7593497,,
"2011","2011","13113","La Reina",132888.061131415,,
"2011","2011","13114","Las Condes",346725.3062099,,
"2011","2011","13115","Lo Barnechea",89382.3736092,,
"2011","2011","13116","Lo Espejo",107851.2560014,,
"2011","2011","13117","Lo Prado",47617.767549299,,
"2011","2011","13118","Macul",190617.043756995,,
"2011","2011","13119","Maipú",379191.57577985,,
"2011","2011","13120","Ñuñoa",285331.421063,,
"2011","2011","13121","Pedro Aguirre Cerda",96509.4636552,,
"2011","2011","13122","Peñalolén",196489.02061389,,
"2011","2011","13123","Providencia",318788.03436686,,
"2011","2011","13124","Pudahuel",146467.1345619,,
"2011","2011","13125","Quilicura",235888.0013843,,
"2011","2011","13126","Quinta Normal",118613.14887317,,
"2011","2011","13127","Recoleta",116102.79145168,,
"2011","2011","13128","Renca",188060.9123421,,
"2011","2011","13129","San Joaquín",107597.507554651,,
"2011","2011","13130","San Miguel",150057.7572993,,
"2011","2011","13131","San Ramón",76522.421600082,,
"2011","2011","13132","Vitacura",209734.1503985,,
"2011","2011","13201","Puente Alto",272367.8563535,,
"2011","2011","13301","Colina",157380.6517839,,
"2011","2011","13302","Lampa",105665.1628209,,
"2011","2011","13303","Tiltil",529.554231212,,
"2011","2011","13401","San Bernardo",461761.9686446,,
"2012","2012","15101","Arica",112356.42231,,
"2012","2012","01101","Iquique",178392.074912,,
"2012","2012","02101","Antofagasta",271973.29144,,
"2012","2012","02201","Calama",79484.25156,,
"2012","2012","03101","Copiapó",102483.64119,,
"2012","2012","04101","La Serena",136038.23076,,
"2012","2012","04102","Coquimbo",114364.22746,,
"2012","2012","04301","Ovalle",26082.12874,,
"2012","2012","05101","Valparaíso",167687.17313,,
"2012","2012","05103","Concón",39873.36856,,
"2012","2012","05109","Viña del Mar",298719.43424,,
"2012","2012","05301","Los Andes",42110.647516911,,
"2012","2012","05601","San Antonio",58984.873000456,,
"2012","2012","05701","San Felipe",34935.561853392,,
"2012","2012","05801","Quilpué",79839.72646,,
"2012","2012","05804","Villa Alemana",22840.58204,,
